alpha,mse_real_y,mse_ganite_α0,mse_ganite_α1,mse_ganite_α2,mse_ganite_α3,mse_ganite_α4,mse_ganite_α5
0.0,1.3039615921609353,1.4074095939605793,10075.007726080563,470.0717355929108,91.59823905592516,2355.030716698574,1011.7796418399224
0.1,1.30572016022052,1.4368584749470825,8376.512273065655,375.43946917948,83.82825333196733,2104.9579995375298,759.5519632205443
0.2,1.3002745276585839,1.4032694544769926,6440.882694360928,309.4548621007447,74.15786320291609,1652.565283802247,624.7708470226413
0.30000000000000004,1.3050364584443632,1.3406105880543944,5059.629482257946,241.9492342592314,49.26080351413737,1263.449759853035,452.4331803287068
0.4,1.3118627260057047,1.351875289364592,3664.7590393186806,177.16578723700067,38.48850384769388,888.3501466527243,362.24413867221216
0.5,1.305434981424959,1.34959687613294,2440.99251978675,127.60195840418996,21.16798776621758,638.8711130474472,243.30800644359527
0.6000000000000001,1.2977342407222445,1.3189564609925082,1660.7736985509205,78.25349041223153,17.345314691039086,432.4409010335489,161.413268324724
0.7000000000000001,1.3029670424318547,1.3050308567788056,915.5843498988085,43.396522266418955,10.48011585561901,245.32389487945252,87.09661011641447
0.8,1.3071618779467205,1.26047011285712,396.6320707160683,20.817641700280742,4.994400268333201,118.02378986096882,38.40198353387374
0.9,1.3008908190327257,1.261974947599029,103.69152293530722,6.166442557918361,1.6534737143415028,33.40197622650979,11.155645804898043
1.0,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574
