alpha,mse_real_y,mse_ganite_α0,mse_ganite_α1,mse_ganite_α2,mse_ganite_α3,mse_ganite_α4,mse_ganite_α5
0.0,1.2941751717664574,1.9348004345642171,28722.2040836646,1300.2166694338466,338.0280077039158,6709.381645146517,2742.6248635295415
0.1,1.3009964065327828,1.8356712066445822,21812.801227802713,1109.336521201009,238.88868803425478,5627.584521282589,2242.5626174190056
0.2,1.280174463052599,1.6438896409498938,17821.18845601736,910.2755791971806,156.53700894571114,4479.897730860452,1772.4096412375757
0.30000000000000004,1.3022810959338635,1.5325789702839423,13749.556747755247,666.7072515757593,178.0828792051091,3471.5753693945376,1333.7049059555131
0.4,1.2944455345100756,1.4182851219723505,10270.697509534215,508.4634019860739,100.94569566273826,2342.634894924848,990.4161000145326
0.5,1.2941751717664574,1.356318348728607,6906.258622561662,329.1324822784381,68.00243432785334,1829.0979984606422,696.4213269492487
0.6000000000000001,1.2954752479776925,1.3946259709611966,4500.74851943282,207.55855273464954,51.959520968386244,1089.3852869945292,417.5599834161671
0.7000000000000001,1.2944455345100756,1.332665616427035,2536.0599676693305,125.77490191609685,23.423710223748213,629.5756086861917,239.4191386136087
0.8,1.2850165601883603,1.3278321799157542,1149.441215399551,53.5623440764376,11.039516093570061,286.06119420613504,108.53180797296129
0.9,1.300567242521492,1.3235681593772746,262.5764310096124,14.577609718485618,3.3559251161459027,78.1086864885846,26.42386125785964
1.0,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574,1.2941751717664574
