alpha,baseline_ate_dr,baseline_cate_mean,predictions_ate_dr,predictions_cate_mean,pred_counterfactuals_ate_dr,pred_counterfactuals_cate_mean
0.0,0.4816841671577464,0.4213636755693345,0.2293157531772081,0.09726119684494763,-0.04108809206382848,0.023673530973768085
0.1,0.4816841671577464,0.4213636755693345,0.25432368683738893,0.11915715910930048,-0.04108809206382848,0.023673530973768085
0.2,0.4816841671577464,0.4213636755693345,0.27896003691684007,0.14329155077292982,-0.04108809206382848,0.023673530973768085
0.30000000000000004,0.4816841671577464,0.4213636755693345,0.3040060070182144,0.1702881271528752,-0.04108809206382848,0.023673530973768085
0.4,0.4816841671577464,0.4213636755693345,0.32924939817787674,0.19906369207023336,-0.04108809206382848,0.023673530973768085
0.5,0.4816841671577464,0.4213636755693345,0.35364650870910896,0.23003392114528737,-0.04108809206382848,0.023673530973768085
0.6000000000000001,0.4816841671577464,0.4213636755693345,0.3799350559735899,0.2640731926800386,-0.04108809206382848,0.023673530973768085
0.7000000000000001,0.4816841671577464,0.4213636755693345,0.40567702885944656,0.30030726647567296,-0.04108809206382848,0.023673530973768085
0.8,0.4816841671577464,0.4213636755693345,0.4300709384470058,0.3376689316928888,-0.04108809206382848,0.023673530973768085
0.9,0.4816841671577464,0.4213636755693345,0.45624640180413034,0.3786942095780877,-0.04108809206382848,0.023673530973768085
1.0,0.4816841671577464,0.4213636755693345,0.4816841671577464,0.4213636755693345,-0.04108809206382848,0.023673530973768085
