alpha,mse_baseline,accuracy_baseline,mse_cate,accuracy_cate,mse_purebaseline,accuracy_purebaseline
0.0,0.16654631445465243,0.75,0.1688633853841249,0.7433333333333333,0.16654631445465243,0.75
0.1,0.16654631445465243,0.75,0.16838872489948348,0.7466666666666667,0.16654631445465243,0.75
0.2,0.16654631445465243,0.75,0.1686704173699952,0.7533333333333333,0.16654631445465243,0.75
0.30000000000000004,0.16654631445465243,0.75,0.16886074400225642,0.7566666666666667,0.16654631445465243,0.75
0.4,0.16654631445465243,0.75,0.16881714370169548,0.7533333333333333,0.16654631445465243,0.75
0.5,0.16654631445465243,0.75,0.16882325751038446,0.7566666666666667,0.16654631445465243,0.75
0.6000000000000001,0.16654631445465243,0.75,0.1687088578942704,0.7533333333333333,0.16654631445465243,0.75
0.7000000000000001,0.16654631445465243,0.75,0.16731714283005647,0.7566666666666667,0.16654631445465243,0.75
0.8,0.16654631445465243,0.75,0.16752888193249985,0.7533333333333333,0.16654631445465243,0.75
0.9,0.16654631445465243,0.75,0.16684014779792547,0.7533333333333333,0.16654631445465243,0.75
1.0,0.16654631445465243,0.75,0.16654631445465243,0.75,0.16654631445465243,0.75
