alpha,baseline_ate_dr,baseline_cate_mean,predictions_ate_dr,predictions_cate_mean,pred_counterfactuals_ate_dr,pred_counterfactuals_cate_mean
0.0,0.026692215056082266,0.03523043546645472,0.004879072456543781,0.021745484396719722,-0.04261170876848843,0.05647601441530451
0.1,0.026692215056082266,0.03523043546645472,0.007158474013414629,0.021897199569152134,-0.04261170876848843,0.05647601441530451
0.2,0.026692215056082266,0.03523043546645472,0.009566111790354607,0.022217446706519223,-0.04261170876848843,0.05647601441530451
0.30000000000000004,0.026692215056082266,0.03523043546645472,0.011093714447187144,0.0228762058380291,-0.04261170876848843,0.05647601441530451
0.4,0.026692215056082266,0.03523043546645472,0.013570958852500904,0.024049711209227078,-0.04261170876848843,0.05647601441530451
0.5,0.026692215056082266,0.03523043546645472,0.01570184599261122,0.025097021071145333,-0.04261170876848843,0.05647601441530451
0.6000000000000001,0.026692215056082266,0.03523043546645472,0.018246390150001245,0.026527781156477644,-0.04261170876848843,0.05647601441530451
0.7000000000000001,0.026692215056082266,0.03523043546645472,0.020032245789335483,0.028571308949691933,-0.04261170876848843,0.05647601441530451
0.8,0.026692215056082266,0.03523043546645472,0.022034838661229413,0.030623316515367524,-0.04261170876848843,0.05647601441530451
0.9,0.026692215056082266,0.03523043546645472,0.024455197057728553,0.03307272021783483,-0.04261170876848843,0.05647601441530451
1.0,0.026692215056082266,0.03523043546645472,0.026692215056082266,0.03523043546645472,-0.04261170876848843,0.05647601441530451
