alpha,mse_real_y,mse_ganite_α0,mse_ganite_α1,mse_ganite_α2,mse_ganite_α3,mse_ganite_α4,mse_ganite_α5
0.0,8.22096076923077,8.226223490095542,8.29635020306165,8.664527543896318,8.460623382896962,8.467257166222744,8.300515477885646
0.1,8.314673076923075,8.148484279574134,8.327891661200207,8.798812463374976,8.398890166725934,8.287040439442663,8.396933585335596
0.2,8.205030769230769,8.27570581888804,8.289042319040439,8.709804661636886,8.288525940796376,8.480272513026673,8.218554832306264
0.30000000000000004,8.235196923076924,8.314296731650735,8.239871078986635,8.641988804764358,8.379902851734732,8.417844325727128,8.214723930487375
0.4,8.235196923076924,8.225587513823521,8.356498217516592,8.807700179726842,8.356788560085358,8.442755896573342,8.177848174676662
0.5,8.235196923076924,8.282623964769051,8.165707967442312,8.78780237502271,8.408985351217014,8.268753732647731,8.42524481086028
0.6000000000000001,8.235196923076924,8.312254952345214,8.240770218859613,8.61411607702359,8.23943761389938,8.494000977078736,8.153479989987641
0.7000000000000001,8.235196923076924,8.295269605365057,8.239677042495385,8.660781196212849,8.275655851719948,8.449067336733014,8.24519129531272
0.8,8.235196923076924,8.204649559835271,8.145634207034677,8.434262720414084,8.22041870103518,8.310914857572579,8.252945660695152
0.9,8.235196923076924,8.27957896681696,8.276233074890731,8.234937718500865,8.235072457569629,8.390092644440655,8.334064267255483
1.0,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924
