alpha,mse_real_y,mse_ganite_α0,mse_ganite_α1,mse_ganite_α2,mse_ganite_α3,mse_ganite_α4,mse_ganite_α5
0.0,8.235196923076924,8.348554448199337,8.56521403583641,9.685879755625434,8.665213667950052,8.264588256153402,8.443761525179644
0.1,8.314673076923075,8.26338329404056,8.447680985280913,9.394982671335436,8.77067026834829,8.386036866362824,8.203790922362902
0.2,8.307934615384616,8.174873426181582,8.393633984332366,9.114315608791244,8.767758020025523,8.22162174765748,8.519844304453443
0.30000000000000004,8.235196923076924,8.330816204739197,8.517128052257508,9.164702204642934,8.50560101390052,8.381771776719154,8.306483405227265
0.4,8.235196923076924,8.257355023183989,8.541688841057196,9.254960422723437,8.86471025025983,8.395034499206398,8.332879000294444
0.5,8.235196923076924,8.167043363164154,8.367041954332633,8.828128123883264,8.695776630822817,8.20164809824,8.240678915092982
0.6000000000000001,8.235196923076924,8.310528336448797,8.287894710130868,8.917927642247648,8.490898505043054,8.42819417639042,8.29098855053394
0.7000000000000001,8.235196923076924,8.206324905250666,8.290418503610919,8.950729248271825,8.456208806709268,8.447179217832868,8.224908045386199
0.8,8.235196923076924,8.344876584871816,8.345905207396186,8.691961189580265,8.219311806541912,8.275426909878696,8.250546042933992
0.9,8.235196923076924,8.242609720811368,8.20115528752679,8.537234074236082,8.158297351639519,8.341307181570564,8.305114637602516
1.0,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924
