alpha,mse_real_y,mse_ganite_α0,mse_ganite_α1,mse_ganite_α2,mse_ganite_α3,mse_ganite_α4,mse_ganite_α5
0.0,8.235196923076924,8.167043363164154,8.367041954332633,8.828128123883264,8.695776630822817,8.20164809824,8.240678915092982
0.1,8.314673076923075,8.366163227153137,8.401327300823917,8.72330028114212,8.530537264063861,8.317478363557044,8.461581000464232
0.2,8.307934615384616,8.274629786785294,8.263274438984025,8.934656019309823,8.392411629694758,8.299659417690611,8.501668482877376
0.30000000000000004,8.235196923076924,8.322758706026178,8.276717689019458,8.773991733481479,8.298415561074524,8.299787494295089,8.298419602438967
0.4,8.235196923076924,8.22995172810736,8.20530967658222,8.84520675398778,8.444172051102761,8.361843343068166,8.3222946685402
0.5,8.235196923076924,8.125185931039539,8.291282784374637,8.947413855223381,8.37176743268196,8.319793026818814,8.341479890422779
0.6000000000000001,8.235196923076924,8.357032705632195,8.301634140853956,8.770380102233029,8.280744587623472,8.384223933033567,8.324075016189925
0.7000000000000001,8.235196923076924,8.400257643647967,8.312374095788188,8.752649058831583,8.388513964943883,8.265530880585588,8.467561768303712
0.8,8.235196923076924,8.333714443594182,8.296082130633124,8.69789115830493,8.195586943806582,8.275318721864245,8.41839668088457
0.9,8.235196923076924,8.328797110765544,8.171150311747386,8.29879965563591,8.181743250580467,8.308407418995959,8.201600600435997
1.0,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924,8.235196923076924
