alpha,baseline_ate_dr,baseline_cate_mean,predictions_ate_dr,predictions_cate_mean,pred_counterfactuals_ate_dr,pred_counterfactuals_cate_mean
0.0,0.08591053158203701,0.8274995553421648,0.12375269217229894,1.0644207942200496,0.12752419278104507,1.4448491754668435
0.1,0.08591053158203701,0.8274995553421648,0.11920715343562184,1.0098148463431202,0.12250334118301494,1.332589731304312
0.2,0.08591053158203701,0.8274995553421648,0.11548266191471923,0.961134621765956,0.11894378124281711,1.2354838220472182
0.30000000000000004,0.08591053158203701,0.8274995553421648,0.1110617488934305,0.9191188068013626,0.11413987307331921,1.1439781514618566
0.4,0.08591053158203701,0.8274995553421648,0.10741698317055648,0.8837253659934233,0.10938564148078468,1.0660464213332437
0.5,0.08591053158203701,0.8274995553421648,0.10387119094119082,0.8517794412222449,0.10554047055925524,0.9925700322990322
0.6000000000000001,0.08591053158203701,0.8274995553421648,0.10049981545995494,0.8249658558807612,0.10167181154820856,0.9246348610775378
0.7000000000000001,0.08591053158203701,0.8274995553421648,0.09700356879253763,0.8075229904645163,0.09790233431308128,0.8724313846700275
0.8,0.08591053158203701,0.8274995553421648,0.09372487117688288,0.7991931305505564,0.09416417749400963,0.8367131165677126
0.9,0.08591053158203701,0.8274995553421648,0.09079254020448788,0.799585626108784,0.09069335124970533,0.8151522882188098
1.0,0.08591053158203701,0.8274995553421648,0.08747829798656209,0.8093402693250905,0.08747829798656209,0.8093402693250905
