alpha,baseline_ate_dr,baseline_cate_mean,predictions_ate_dr,predictions_cate_mean,pred_counterfactuals_ate_dr,pred_counterfactuals_cate_mean
0.0,0.0017665704257825978,0.00262125480634683,-0.006330674047470019,0.0024397818185971586,0.0004471053736294814,0.0033111795929955286
0.1,0.0017665704257825978,0.00262125480634683,-0.005625137862693505,0.0023454618805726518,0.00039754321526362874,0.003054896501230665
0.2,0.0017665704257825978,0.00262125480634683,-0.004176197016099841,0.0023037335294047046,0.00040814506363147254,0.0030716619131059743
0.30000000000000004,0.0017665704257825978,0.00262125480634683,-0.003918672807089008,0.0022738115228140713,0.000800512425611918,0.0029400488024767203
0.4,0.0017665704257825978,0.00262125480634683,-0.003915711018291473,0.002314551573322285,0.0009339754677840917,0.002811325378387073
0.5,0.0017665704257825978,0.00262125480634683,-0.0037270836039406553,0.002281304452363031,0.0006791208749419442,0.002729220609611296
0.6000000000000001,0.0017665704257825978,0.00262125480634683,-0.0022629024339137598,0.0023396111240615866,0.00043869439846012855,0.002807637469218466
0.7000000000000001,0.0017665704257825978,0.00262125480634683,-0.002322499932657419,0.0024104822547060226,0.0002884241465393435,0.002722590365890103
0.8,0.0017665704257825978,0.00262125480634683,-0.00012975281875936048,0.002305755777626539,0.0005074499125391855,0.0025745602176271668
0.9,0.0017665704257825978,0.00262125480634683,4.319591986554427e-05,0.0024477779093882174,0.0015142099500116742,0.002641932613430462
1.0,0.0017665704257825978,0.00262125480634683,0.0017665704257825978,0.00262125480634683,0.0017665704257825978,0.00262125480634683
