alpha,mse_baseline,mse_cate,mse_purebaseline
0.0,0.019150496589697596,0.020415379796234773,0.019150496589697596
0.1,0.019157622911810408,0.019957418594792005,0.019157622911810408
0.2,0.019163546021021605,0.019680546102057238,0.019163546021021605
0.30000000000000004,0.019157314400446174,0.019503307557527955,0.019157314400446174
0.4,0.019155577078921675,0.019312157350316772,0.019155577078921675
0.5,0.019150496589697596,0.01914086300125802,0.019150496589697596
0.6000000000000001,0.019163709655192186,0.019044791005756193,0.019163709655192186
0.7000000000000001,0.019157479723023937,0.019020544981940498,0.019157479723023937
0.8,0.019150496589697596,0.019100555954990134,0.019150496589697596
0.9,0.019150496589697596,0.01910416224972354,0.019150496589697596
1.0,0.019150496589697596,0.019150496589697596,0.019150496589697596
