alpha,mse_baseline,mse_cate,mse_purebaseline
0.0,8.050810302533709,8.524208052216997,8.050810302533709
0.1,8.050810302533709,8.471936163257826,8.050810302533709
0.2,8.050810302533709,8.427963079446576,8.050810302533709
0.30000000000000004,8.050810302533709,8.364179281957725,8.050810302533709
0.4,8.050810302533709,8.290456082635371,8.050810302533709
0.5,8.050810302533709,8.226751877910024,8.050810302533709
0.6000000000000001,8.050810302533709,8.195133048488865,8.050810302533709
0.7000000000000001,8.050810302533709,8.155529981471513,8.050810302533709
0.8,8.050810302533709,8.13419352027542,8.050810302533709
0.9,8.050810302533709,8.115006247344592,8.050810302533709
1.0,8.050810302533709,8.050810302533709,8.050810302533709
