alpha,baseline_ate_dr,baseline_cate_mean,predictions_ate_dr,predictions_cate_mean,pred_counterfactuals_ate_dr,pred_counterfactuals_cate_mean
0.0,0.14349843944247684,1.1621226890078955,0.03898155531373407,1.4113393868103137,-0.062491341333975596,1.594854488136122
0.1,0.14349843944247684,1.1621226890078955,0.04371848034484607,1.353727786591852,-0.039887864315752655,1.4933040707552738
0.2,0.14349843944247684,1.1621226890078955,0.0523166082133339,1.292667386286011,-0.014335308497520275,1.4013016734354848
0.30000000000000004,0.14349843944247684,1.1621226890078955,0.0574864640981851,1.2292483780314554,0.00602249287525616,1.3370869138012416
0.4,0.14349843944247684,1.1621226890078955,0.06407634689719857,1.169249032859411,0.029831449993080534,1.2731364015502236
0.5,0.14349843944247684,1.1621226890078955,0.08001830650832031,1.144019708100977,0.04618420206232347,1.2396201787457586
0.6000000000000001,0.14349843944247684,1.1621226890078955,0.09498832044842612,1.1086077708970352,0.06985790255925413,1.194444062856387
0.7000000000000001,0.14349843944247684,1.1621226890078955,0.12021910099075458,1.0840612649367272,0.09634436262779791,1.1530329746470618
0.8,0.14349843944247684,1.1621226890078955,0.12701859920804698,1.0980357151609674,0.10992393819929895,1.1440007314877951
0.9,0.14349843944247684,1.1621226890078955,0.13323413254741645,1.1324266794840485,0.13062050675639053,1.1508235255428674
1.0,0.14349843944247684,1.1621226890078955,0.14349843944247684,1.1621226890078955,0.14349843944247684,1.1621226890078955
