alpha,mse_baseline,mse_cate,mse_purebaseline
0.0,0.010345162269297953,0.3145087294224524,0.010345162269297953
0.1,0.010307140830419169,0.2628237752489232,0.010307140830419169
0.2,0.010398565773963645,0.2146771744518054,0.010398565773963645
0.30000000000000004,0.010341083049994041,0.1722144048406625,0.010341083049994041
0.4,0.01033767500491373,0.1343421399632363,0.01033767500491373
0.5,0.010345162269297953,0.09970656740615672,0.010345162269297953
0.6000000000000001,0.010335653482609954,0.06817416752810701,0.010335653482609954
0.7000000000000001,0.010317666726938794,0.04335449958996956,0.010317666726938794
0.8,0.010319151324463656,0.025825102999344415,0.010319151324463656
0.9,0.010327381309268578,0.01449187158801594,0.010327381309268578
1.0,0.010331005785312328,0.010331005785312328,0.010331005785312328
